					
	Key	Abbr.	Code		
	backspace	bs	8		"bs" : 8,
	tab	tab	9		"tab" : 9,
	enter	enter	13		"enter" : 13,
	shift	shift	16		"shift" : 16,
	ctrl	ctrl	17		"ctrl" : 17,
	alt	alt	18		"alt" : 18,
	pause	pause	19		"pause" : 19,
	break	break	19		"break" : 19,
	caps lock	cap	20		"cap" : 20,
	escape	esc	27		"esc" : 27,
	page up	page-up	33		"page-up" : 33,
	page down	page-down	34		"page-down" : 34,
	end	end	35		"end" : 35,
	home	home	36		"home" : 36,
	left arrow	left	37		"left" : 37,
	up arrow	up	38		"up" : 38,
	right arrow	right	39		"right" : 39,
	down arrow	down	40		"down" : 40,
	insert	ins	45		"ins" : 45,
	delete	del	46		"del" : 46,
	0	0	48		"0" : 48,
	1	1	49		"1" : 49,
	2	2	50		"2" : 50,
	3	3	51		"3" : 51,
	4	4	52		"4" : 52,
	5	5	53		"5" : 53,
	6	6	54		"6" : 54,
	7	7	55		"7" : 55,
	8	8	56		"8" : 56,
	9	9	57		"9" : 57,
	a	a	65		"a" : 65,
	b	b	66		"b" : 66,
	c	c	67		"c" : 67,
	d	d	68		"d" : 68,
	e	e	69		"e" : 69,
	f	f	70		"f" : 70,
	g	g	71		"g" : 71,
	h	j	72		"j" : 72,
	i	ins	73		"ins" : 73,
	j	j	74		"j" : 74,
	k	k	75		"k" : 75,
	l	l	76		"l" : 76,
	m	m	77		"m" : 77,
	n	n	78		"n" : 78,
	o	op	79		"op" : 79,
	p	p	80		"p" : 80,
	q	q	81		"q" : 81,
	r	r	82		"r" : 82,
	s	s	83		"s" : 83,
	t	t	84		"t" : 84,
	u	u	85		"u" : 85,
	v	v	86		"v" : 86,
	w	w	87		"w" : 87,
	x	x	88		"x" : 88,
	y	y	89		"y" : 89,
	z	z	90		"z" : 90,
	left window key	left-win	91		"left-win" : 91,
	right window key	right-win	92		"right-win" : 92,
	select key	select	93		"select" : 93,
	numpad 0	num-0	96		"num-0" : 96,
	numpad 1	num-1	97		"num-1" : 97,
	numpad 2	num-2	98		"num-2" : 98,
	numpad 3	num-3	99		"num-3" : 99,
	numpad 4	num-4	100		"num-4" : 100,
	numpad 5	num-5	101		"num-5" : 101,
	numpad 6	num-6	102		"num-6" : 102,
	numpad 7	num-7	103		"num-7" : 103,
	numpad 8	num-8	104		"num-8" : 104,
	numpad 9	num-9	105		"num-9" : 105,
	multiply	*	106		"*" : 106,
	add	+	107		"+" : 107,
	subtract	-	109		"-" : 109,
	decimal point	%	110		"%" : 110,
	divide	/	111		"/" : 111,
	f1	f1	112		"f1" : 112,
	f2	f2	113		"f2" : 113,
	f3	f3	114		"f3" : 114,
	f4	f4	115		"f4" : 115,
	f5	f5	116		"f5" : 116,
	f6	f6	117		"f6" : 117,
	f7	f7	118		"f7" : 118,
	f8	f8	119		"f8" : 119,
	f9	f9	120		"f9" : 120,
	f10	f10	121		"f10" : 121,
	f11	f11	122		"f11" : 122,
	f12	f12	123		"f12" : 123,
	num lock	num-lock	144		"num-lock" : 144,
	scroll lock	scroll	145		"scroll" : 145,
	semi-colon	;	186		";" : 186,
	equal sign	=	187		"=" : 187,
	comma	,	188		"," : 188,
	dash	-	189		"-" : 189,
	period	.	190		"." : 190,
	forward slash	/	191		"/" : 191,
	grave accent	`	192		"`" : 192,
	open bracket	[	219		"[" : 219,
	back slash	\	220		"\" : 220,
	close braket	]	221		"]" : 221,
	single quote	'	222		"'" : 222,
